нет: перекликаться—ПГ(клИч),занавес—ПГ(занавЕсить),заплести—ПГ(плЕть)
нет: доставаться(достАть)—ПГ,задрожала(дрОжь)—ПГ,многоголосье(гОлос)—ПГ
нет: шедевр—НГ,блистательный—ЧГ,считать—ЧГ
да: подсветить(подсвЕтка)—ПГ,запереть—ЧГ,стекло(стЁкла)—ПГ
да: водоросли—ЧГ,подгореть—ЧГ,приложить—ЧГ
да: карабкаться—НГ,кавалерия—НГ,макнуть— ЧГ
нет: цитата,циркач,цыкнуть-ПРАВИЛО
нет: ориентир—НГ,занимательный—ЧГ,развевающиеся(знамёна)—ПГ(вЕять)
да: честолюбивые—ПГ(чЕсть),замереть—ЧГ,прецедент—НГ
да: обоняние(НГ),поросль,пловчиха—ЧГ
да: увядание(цветов)—Пг(вЯнуть),землетрясение—ПГ(трЯска),обязательно—ПГ(обЯзанность)
да: исполнение—ПГ(испОлнить),ворсистый—ПГ(вОрс),преклонение—ЧГ
нет: тренажёр—НГ,единомышленник—ПГ(одИн),потерять—ПГ(потЕря)
да: стилистический—стИль,заниматься—ЧГ,чистоплотный—ПГ(чИсто)
нет: героизм—НГ,запивал(водой)—ПГ(пИть),лебединый—ПГ(лЕбедь)
нет: хризантема—НГ,сезон—НГ,примерять(куртку)—ПГ(примЕрка)
да: университет—НГ,зажигать—ЧГ,соединение—ПГ(едИн)
да: распорядиться—ПГ(распорЯдок),снаряжение—ПГ(наряд);недосягаемый—ПГ,родств.«присяга»
нет: укрощать—ПГ(крОткий),зарницы—ЧГ,справедливый—ПГ(прАвда)
нет: изжОга,капюшОн,бечЁвка-ПРАВИЛО
да: сердитый—ПГ(сЕрдится),испещрённый—ПГ(пёстрый),трепетать(трепЕщет)—ПГ
нет: промокашка—ЧГ,озаряя—ЧГ,перефразировать(фрАза)—ПГ
нет: щебетание(щЕбет)—ПГ,увядающий(увЯнуть)—ПГ,гипотеза—НГ
нет: сближение(блИзко)—ПГ,полемичный(полЕмика)—ПГ,скептический(скЕптик)— ПГ
да: благословение(слОво)— ПГ,закоснелое(общество)(кОсный)—ПГ,декоративный(декОр)—ПГ
да: шоколадка,шомпольный,шокировать
нет: целеустремлённый(ПГ-цЕль),оцинкованный(ПГ-цИнк),прицепить(ПГ-цЕпкий)
нет: опоздать(ПГ-пОздно),сокращение(ПГ-крАтко),раскрошить(ПГ-крОШка)
да: воплощённый(ПГ-плОть),осложнять(ПГ-слОжно),коренья(ПГ-кОрень)
нет: вопиющий(ПГ-вОпль),балалайка(НГ),жаворонок(НГ)
