ноздр..ватый, расплывч..тый
завед..вал, руч..нка
обустра..ваться, горош..к
фасол..вый, затм..вать
исслед..вать, раздум..вать
усидч..вый, переменч..вый
отстёг..вавший, глянц..вый
щегол..ватый, находч..вый
прислуш..ваться, гор..вать
заносч..вый, отапл..ваемый
выносл..вый, рис..вать
подразум..вать, намер..ваться
раскра..вать, студенч..ство
милост..вый, юрод..вый
подмарг..вающий, дел..вой
накапл..вать, улыбч..вый
податл..вый; нул..вой
се..вший, перекле..вать
кро..тся (тайна), потч..вать
выздоров..ть, смекал..стый
мировоззренч..ский, заступнич..ство
опрокид..вать, совет..вать
стрессоустойч..вый, глин..стый
масл..нистый, повел..вать
заплесн..вевший, услужл..вый
усидч..вость, текуч..сть
пут..во́й, зор..нька
налаж..вать, син..ватый
отпуг..вая, шалаш..к
расклан..вшийся, крив..зна
