ответ..шь, организу..мый
запиш..м, повер..вший
выключ..нный, вы́мо..те (пол)
хвал..щийся (успехами), ве..вший (ветерок)
пилотиру..щий, (дома) (они) видне..тся (вдали)
плач..щий, скач..щий
(он) выдерж..т, (он)подытож..т
тревож..щийся, получ..нный
ропщ..т, (фермер) корм..т
люб..щая, пиш..щий
обиж..нный, дремл..шь
(они) держ..тся (за руки), мурлыч..щий (кот)
будораж..вший (воображение), (рассвет чуть) брезж..т
утер..нные (документы), (они) высп..тся
(они) вышл..т (посылку), завис..щий (от обстоятельств)
во..т (ветер), вытащ..нный
се..щий, ман..щие
трат..тся (деньги), напиш..т (автор)
(метель) присыпл..т (снежком), изготовл..нная
леле..щая, стро..т
предвид..вший, незыбл..мый
пыш..щий (здоровьем), (они) вылож..т
противореч..щий, выслуш..вший
обездвиж..нный, натерп..шься
щебеч..щий, (они) клокоч..т
стащ..т (кошка), (лиса) разоря..т
паш..т (пахарь), стел..т (мама)
(если) напиш..те, (когда) подним..те
дыш..т (они), щекоч..т (они)
(она) тревож..т, очищ..нная
