перекл..каться, занав..с, запл..сти
дост..ваться, задр..жала, многог..лосье
ш..девр, бл..стательный, сч..тать
подсв..тить, зап..реть, ст..кло
водор..сли, подг..реть, прил..жить
к..рабкаться, к..валерия, м..кнуть (в краску кисть)
ц..тата, ц..ркач, ц..кнуть
ор..ентир, зан..мательный, разв..вающиеся (знамёна)
ч..столюбивые (планы), зам..реть, прец..дент
об..няние, пор..сль, пл..вчиха
ув..дание (цветов), землетр..сение, об..зательно
исп..лнение, в..рсистый, прекл..нение
тр..нажёр, ед..номышленник, пот..рять
ст..листический, зан..маться, ч..стоплотный
г..роизм, зап..вал (водой), л..бединый
хр..зантема, с..зон, прим..рять (куртку)
ун..верситет, заж..гать, соед..нение
распор..диться, снар..жение, недос..гаемый
укр..щать, з..рницы, спр..ведливый
изж..га, капюш..н, (крепкая) беч..вка
с..рдитый, исп..щрённый, треп..тать
пром..кашка, оз..ряя, перефр..зировать
щ..бетание, ув..дающий (цветок), г..потеза
сбл..жение, пол..мичный, ск..птический
благосл..вение, зак..снелое (общество), дек..ративный
ш..коладка, ш..мпольный, ш..кировать
ц..леустремлённый, оц..нкованный, приц..пить
оп..здать, сокр..щение, раскр..шить
вопл..щённый, осл..жнять, к..ренья
в..пиющий, б..лалайка, жав..ронок
